sub,ses,dir,stratum,mean_fc,skew,mean_fc_flag,skew_flag,fc_flag,temporal_flag,fd_exclude,any_internal_run_review,any_attention
sub-1050,ses-2,PA,ses-2/PA,0.09323251,0.14813672,False,False,False,False,False,False,False
sub-1051,ses-1,AP,ses-1/AP,0.12333115,-0.06386147,False,False,False,False,False,False,False
sub-1051,ses-1,PA,ses-1/PA,0.04984225,0.2692674,False,False,False,False,False,False,False
sub-1051,ses-2,AP,ses-2/AP,0.1245094,0.06860331,False,False,False,False,False,False,False
sub-1051,ses-2,PA,ses-2/PA,0.04550551,0.15309623,False,False,False,False,False,False,False
sub-1052,ses-1,AP,ses-1/AP,0.057345685,0.21415868,False,False,False,False,False,False,False
sub-1052,ses-1,PA,ses-1/PA,0.16253656,0.17013817,False,False,False,False,False,False,False
sub-1052,ses-2,AP,ses-2/AP,0.08781139,0.085750066,False,False,False,False,False,False,False
sub-1052,ses-2,PA,ses-2/PA,0.050686378,0.26955986,False,False,False,False,False,False,False
sub-1053,ses-1,AP,ses-1/AP,0.27010223,-0.22379334,False,False,False,True,False,True,True
sub-1053,ses-1,PA,ses-1/PA,0.08742171,0.08294192,False,False,False,False,False,False,False
sub-1053,ses-2,AP,ses-2/AP,0.19157094,-0.05908629,False,False,False,False,False,False,False
sub-1053,ses-2,PA,ses-2/PA,0.06483323,0.19913156,False,False,False,False,False,False,False
sub-1054,ses-1,AP,ses-1/AP,0.23794325,-0.023123482,False,False,False,False,False,False,False
sub-1054,ses-1,PA,ses-1/PA,0.21113652,0.021085693,False,False,False,False,False,False,False
sub-1054,ses-2,AP,ses-2/AP,0.17598628,0.033050798,False,False,False,False,False,False,False
sub-1054,ses-2,PA,ses-2/PA,0.1504787,0.07151656,False,False,False,False,False,False,False
sub-1056,ses-1,AP,ses-1/AP,0.12598774,0.19259441,False,False,False,False,False,False,False
sub-1056,ses-1,PA,ses-1/PA,0.123515606,0.21446045,False,False,False,False,False,False,False
sub-1056,ses-2,AP,ses-2/AP,0.09517,0.11534623,False,False,False,False,False,False,False
sub-1056,ses-2,PA,ses-2/PA,0.10433784,0.029329563,False,False,False,False,False,False,False
sub-1057,ses-1,AP,ses-1/AP,0.14327171,0.053102866,False,False,False,False,False,False,False
sub-1057,ses-1,PA,ses-1/PA,0.052605182,0.13775727,False,False,False,False,False,False,False
sub-1057,ses-2,AP,ses-2/AP,0.13938528,-0.018464318,False,False,False,False,False,False,False
sub-1057,ses-2,PA,ses-2/PA,0.110970095,0.07568965,False,False,False,False,False,False,False
sub-1060,ses-1,AP,ses-1/AP,0.08227851,0.07247689,False,False,False,False,False,False,False
sub-1060,ses-1,PA,ses-1/PA,0.16821522,0.012140452,False,False,False,False,False,False,False
sub-1060,ses-2,AP,ses-2/AP,0.21425557,-0.02866507,False,False,False,False,False,False,False
sub-1060,ses-2,PA,ses-2/PA,0.10804609,0.13589516,False,False,False,False,True,False,True
sub-1061,ses-1,AP,ses-1/AP,0.11070413,0.06510549,False,False,False,False,False,False,False
sub-1061,ses-1,PA,ses-1/PA,0.07385587,0.15530485,False,False,False,False,False,False,False
sub-1061,ses-2,AP,ses-2/AP,0.083834715,0.11596882,False,False,False,False,False,False,False
sub-1061,ses-2,PA,ses-2/PA,0.08309137,0.115687504,False,False,False,False,False,False,False
sub-1063,ses-1,AP,ses-1/AP,0.071887106,0.28669032,False,False,False,False,False,False,False
sub-1063,ses-1,PA,ses-1/PA,0.14312063,0.14053102,False,False,False,False,False,False,False
sub-1063,ses-2,AP,ses-2/AP,0.056991193,0.3067894,False,False,False,False,False,False,False
sub-1063,ses-2,PA,ses-2/PA,0.16053101,0.032094575,False,False,False,False,False,False,False
sub-1064,ses-1,AP,ses-1/AP,0.0559875,0.22645372,False,False,False,False,False,False,False
sub-1064,ses-1,PA,ses-1/PA,0.05831514,0.15380885,False,False,False,False,False,False,False
sub-1064,ses-2,AP,ses-2/AP,0.1542807,0.08557992,False,False,False,False,False,False,False
sub-1064,ses-2,PA,ses-2/PA,0.11267802,0.06343424,False,False,False,False,True,False,True
sub-1065,ses-1,AP,ses-1/AP,0.15601085,0.08724045,False,False,False,False,True,False,True
sub-1065,ses-1,PA,ses-1/PA,0.2470766,-0.092771985,False,False,False,False,False,False,False
sub-1065,ses-2,AP,ses-2/AP,0.17824568,-0.007952358,False,False,False,False,False,False,False
sub-1065,ses-2,PA,ses-2/PA,0.10586357,0.02469774,False,False,False,False,True,False,True
sub-1066,ses-1,AP,ses-1/AP,0.09693961,0.063317664,False,False,False,False,False,False,False
sub-1066,ses-1,PA,ses-1/PA,0.08971145,0.0956348,False,False,False,False,False,False,False
sub-1066,ses-2,AP,ses-2/AP,0.10024963,0.11853755,False,False,False,False,False,False,False
sub-1066,ses-2,PA,ses-2/PA,0.16359301,-0.013035469,False,False,False,False,False,False,False
sub-1067,ses-1,AP,ses-1/AP,0.048418447,0.15452082,False,False,False,False,False,False,False
sub-1067,ses-1,PA,ses-1/PA,0.06569,0.18132338,False,False,False,False,False,False,False
sub-1067,ses-2,AP,ses-2/AP,0.06360603,0.2656939,False,False,False,False,False,False,False
sub-1067,ses-2,PA,ses-2/PA,0.053640284,0.26780638,False,False,False,False,False,False,False
sub-1069,ses-1,AP,ses-1/AP,0.21113159,-0.055212542,False,False,False,False,False,False,False
sub-1069,ses-1,PA,ses-1/PA,0.06984691,0.173659,False,False,False,False,False,False,False
sub-1069,ses-2,AP,ses-2/AP,0.3669658,-0.46830302,True,True,True,False,False,True,True
sub-1069,ses-2,PA,ses-2/PA,0.065614775,0.19299144,False,False,False,False,False,False,False
sub-1070,ses-1,AP,ses-1/AP,0.13541965,0.15297572,False,False,False,False,False,False,False
sub-1070,ses-1,PA,ses-1/PA,0.12240511,0.1052851,False,False,False,False,False,False,False
sub-1070,ses-2,AP,ses-2/AP,0.121972546,0.14799574,False,False,False,False,False,False,False
sub-1070,ses-2,PA,ses-2/PA,0.086753994,0.15420997,False,False,False,False,False,False,False
sub-1071,ses-1,AP,ses-1/AP,0.30209175,-0.25961173,True,False,True,True,False,True,True
sub-1071,ses-1,PA,ses-1/PA,0.12310599,-0.044484735,False,False,False,False,False,False,False
sub-1071,ses-2,AP,ses-2/AP,0.15575,0.05224865,False,False,False,False,False,False,False
sub-1071,ses-2,PA,ses-2/PA,0.13455495,0.04790574,False,False,False,False,False,False,False
sub-1072,ses-1,AP,ses-1/AP,0.10739936,0.06406948,False,False,False,False,False,False,False
sub-1072,ses-1,PA,ses-1/PA,0.025561444,0.16791932,False,False,False,False,False,False,False
sub-1072,ses-2,AP,ses-2/AP,0.105459996,0.0082836645,False,False,False,False,False,False,False
sub-1072,ses-2,PA,ses-2/PA,0.046262424,0.12488647,False,False,False,False,False,False,False
sub-1073,ses-1,AP,ses-1/AP,0.28840005,-0.117373176,True,False,True,False,False,True,True
sub-1073,ses-1,PA,ses-1/PA,0.14003158,0.0621984,False,False,False,False,False,False,False
sub-1073,ses-2,AP,ses-2/AP,0.35934418,-0.26004615,True,False,True,False,True,True,True
sub-1073,ses-2,PA,ses-2/PA,0.26142552,-0.13655503,False,False,False,True,True,True,True
sub-1074,ses-1,AP,ses-1/AP,0.11681887,-0.06539558,False,False,False,False,False,False,False
sub-1074,ses-1,PA,ses-1/PA,0.12285741,0.04498715,False,False,False,False,False,False,False
sub-1074,ses-2,AP,ses-2/AP,0.11618865,0.16067666,False,False,False,False,False,False,False
sub-1074,ses-2,PA,ses-2/PA,0.04181191,0.13591638,False,False,False,False,False,False,False
sub-1075,ses-1,AP,ses-1/AP,0.12895574,0.03191774,False,False,False,False,False,False,False
sub-1075,ses-1,PA,ses-1/PA,0.17677854,-0.010422343,False,False,False,False,False,False,False
sub-1075,ses-2,AP,ses-2/AP,0.28491968,-0.2492695,False,False,False,False,False,False,False
sub-1075,ses-2,PA,ses-2/PA,0.21579091,0.015505965,False,False,False,False,False,False,False
sub-1076,ses-1,AP,ses-1/AP,0.13427238,0.16949673,False,False,False,False,False,False,False
sub-1076,ses-1,PA,ses-1/PA,0.13733472,0.10597347,False,False,False,False,False,False,False
sub-1076,ses-2,AP,ses-2/AP,0.06846826,0.19251278,False,False,False,False,False,False,False
sub-1076,ses-2,PA,ses-2/PA,0.12533028,0.05956973,False,False,False,False,False,False,False
sub-1077,ses-1,AP,ses-1/AP,0.092760816,0.0527431,False,False,False,False,False,False,False
sub-1077,ses-1,PA,ses-1/PA,0.09762665,0.13563998,False,False,False,False,False,False,False
sub-1077,ses-2,AP,ses-2/AP,0.070668645,0.1743563,False,False,False,False,False,False,False
sub-1077,ses-2,PA,ses-2/PA,0.089794524,0.15985075,False,False,False,False,False,False,False
